Neighborhood,Sector,Pop_1940,Pop_1950,Pop_1960,Pop_1970,Pop_1980,Pop_1990,Pop_2000,Pop_2010,Perc_Pop_Change_60-70,Perc_Pop_Change_70-80,Perc_Pop_Change_80-90,Perc_Pop_Change_90-00,Perc_Pop_Change_00-10,Pop_Perc_City_Total_2010,Area,Persons_per_acre_2010,Persons_per_acre_2000,Perc_African_American,Perc_Asian,Perc_Other,Perc_White,Perc_2+_Races,Perc_Hispanic,Perc_Pop_Age<5,Perc_Pop_Age5-19,Perc_Pop_Age_20-34,Perc_Pop_Age_35-59,Perc_Pop_Age 60-74,Perc_Pop_Age>75
Point Breeze,10,7681,7766,8057,7792,6464,5909,5665,5315,-0.032890654,-0.170431211,-0.085860149,-0.041292943,-0.061782877,0.017386099,642.56,8.271601096,8.816297311,0.046472248,0.033490122,0.009219191,0.891251176,0.0196,0.026,0.0523,0.1491,0.1877,0.4127,0.1177,0.0804
Point Breeze North,11,3518,4120,3552,3135,2705,2513,2304,2054,-0.117398649,-0.137161085,-0.070979667,-0.083167529,-0.108506944,0.006718918,183.04,11.22159091,12.58741259,0.553554041,0.031158715,0.014605648,0.351022395,0.0497,0.034,0.0067,0.0981,0.3396,0.3117,0.1423,0.1017
Polish Hill,13,5880,4896,3619,2709,1845,1610,1488,1274,-0.251450677,-0.318936877,-0.127371274,-0.075776398,-0.143817204,0.00416743,163.2,7.806372549,9.117647059,0.12166405,0.01255887,0.007064364,0.8288854,0.0298,0.022,0.0065,0.0653,0.2505,0.4494,0.094,0.1342
Regent Square,10,1494,1440,1339,1212,1167,1090,1131,928,-0.094846901,-0.037128713,-0.065981148,0.037614679,-0.179487179,0.003035616,122.88,7.552083333,9.204101563,0.018318966,0.03125,0.009698276,0.923491379,0.0172,0.025,0.0865,0.0565,0.1913,0.4745,0.1557,0.0355
Ridgemont,4,884,989,1059,1281,712,590,530,483,0.209631728,-0.444184231,-0.171348315,-0.101694915,-0.088679245,0.00157996,236.16,2.045223577,2.244241192,0.064182195,0.01242236,0.008281573,0.915113872,0,0.014,0,0.0452,0.2516,0.428,0.0925,0.1828
Shadyside,12,17680,19279,18177,15848,13945,13385,13754,13915,-0.128128954,-0.120078243,-0.040157763,0.027568173,0.011705686,0.045517887,589.44,23.60715255,23.33401194,0.053970535,0.198634567,0.009126842,0.719008264,0.0193,0.033,0.0452,0.0588,0.5035,0.2269,0.0849,0.0807
Sheraden,4,8825,8831,8283,8304,7450,6654,6049,5299,0.002535313,-0.102842004,-0.106845638,-0.090922753,-0.123987436,0.017333761,569.6,9.303019663,10.61973315,0.412530666,0.024155501,0.007737309,0.508586526,0.047,0.016,0.0877,0.1987,0.2165,0.3477,0.0967,0.0526
South Oakland,14,8912,7842,5994,4761,3622,3368,3007,2969,-0.205705706,-0.239235455,-0.070127002,-0.107185273,-0.01263718,0.009712009,325.12,9.132012795,9.248892717,0.213203099,0.061636915,0.012798922,0.681037386,0.0313,0.029,0.0554,0.095,0.4094,0.2638,0.117,0.0594
South Shore,16,184,138,113,87,70,44,56,19,-0.230088496,-0.195402299,-0.371428571,0.272727273,-0.660714286,6.21516E-05,135.68,0.140035377,0.412735849,0,0,0,1,0,0,0,0.2368,0.2105,0.5526,0,0
South Side Flats,7,22476,17942,12586,9260,7894,6177,5726,6597,-0.264261878,-0.147516199,-0.217506967,-0.073012789,0.152113168,0.021579698,599.04,11.01262019,9.558627137,0.029710474,0.02167652,0.005153858,0.931029256,0.0124,0.025,0.0223,0.0482,0.4971,0.2621,0.089,0.0813
South Side Slopes,7,15083,12998,10842,9739,7020,5672,5007,4423,-0.101733997,-0.279186775,-0.192022792,-0.117242595,-0.116636709,0.014468244,458.24,9.652147346,10.92658869,0.071444721,0.009495817,0.010626272,0.88537192,0.0231,0.021,0.0174,0.1049,0.3644,0.3298,0.0951,0.0883
Spring Garden,1,4357,3962,3426,3151,2134,1753,1254,884,-0.080268535,-0.322754681,-0.178537957,-0.284654877,-0.295055821,0.002891686,176,5.022727273,7.125,0.15158371,0.009049774,0.012443439,0.795248869,0.0317,0.023,0.0732,0.0878,0.1881,0.5227,0.052,0.0761
Spring Hill-City View,1,7833,7178,6389,5275,3803,3288,3040,2648,-0.174362185,-0.279052133,-0.135419406,-0.075425791,-0.128947368,0.008661974,403.2,6.567460317,7.53968254,0.284743202,0.006797583,0.003776435,0.679380665,0.0253,0.016,0.1141,0.1519,0.1728,0.338,0.1163,0.1068
Squirrel Hill North,10,10435,13009,13778,13576,12353,11471,10408,11363,-0.014661054,-0.090085445,-0.07139966,-0.092668468,0.091756341,0.037169942,782.08,14.52920417,13.30810147,0.032385814,0.170289536,0.021825222,0.750154009,0.0253,0.041,0.0512,0.2827,0.2992,0.2078,0.0982,0.061
Squirrel Hill South,10,20203,20737,18517,16669,15165,14968,14507,15110,-0.099800184,-0.090227368,-0.012990439,-0.030799038,0.04156614,0.049426897,1709.44,8.839152003,8.486404905,0.032230311,0.114030443,0.01039047,0.82031767,0.023,0.032,0.0543,0.118,0.2936,0.325,0.1034,0.1058
St. Clair,7,2601,3089,3448,2914,3328,1960,1453,209,-0.15487239,0.142072752,-0.411057692,-0.258673469,-0.85615967,0.000683668,198.4,1.053427419,7.32358871,0.468899522,0,0,0.526315789,0.0048,0.005,0.0987,0.4041,0.1184,0.2867,0.0611,0.031
Stanton Heights,13,4610,6024,8249,7679,6223,5085,4842,4601,-0.069099285,-0.189608022,-0.182869998,-0.047787611,-0.049772821,0.015050506,470.4,9.781037415,10.29336735,0.400565095,0.008693762,0.006085634,0.558791567,0.0259,0.014,0.0646,0.1409,0.1819,0.3951,0.1353,0.0822
Strip District,13,4363,3207,1756,965,514,275,266,616,-0.450455581,-0.467357513,-0.464980545,-0.032727273,1.315789474,0.002015021,389.12,1.583059211,0.68359375,0.155844156,0.063311688,0.001623377,0.756493506,0.0227,0.016,0,0.0554,0.3028,0.3603,0.1727,0.1087
Summer Hill,1,1593,1728,2100,2245,1518,1219,1028,1051,0.06904,-0.3238,-0.19696,-0.156685808,0.022373541,0.003437966,280.96,3.740746014,3.658883827,0.152235966,0,0,0.823977165,0.0238,0.01,0.0594,0.1179,0.2506,0.3891,0.0989,0.0841
Swisshelm Park,10,1338,1486,2128,2041,1697,1540,1378,1361,-0.040883459,-0.168544831,-0.092516205,-0.105194805,-0.01233672,0.004452019,307.2,4.430338542,4.485677083,0.04188097,0.031594416,0.003673769,0.900808229,0.022,0.023,0.0363,0.1375,0.2187,0.349,0.1546,0.104
Terrace Village,15,4054,11631,10520,7766,6550,5073,2631,3228,-0.261787072,-0.156579964,-0.225496183,-0.481371969,0.22690992,0.010559234,218.88,14.74780702,12.02028509,0.675960347,0.023853779,0.003407683,0.278810409,0.018,0.011,0.0299,0.4093,0.3024,0.1797,0.0412,0.0376
Troy Hill,1,7319,6530,5141,4205,3251,2742,2540,2714,-0.182065746,-0.226872771,-0.15656721,-0.073668855,0.068503937,0.008877869,294.4,9.21875,8.627717391,0.121960206,0.039793662,0.007369197,0.812085483,0.0188,0.018,0.0592,0.1493,0.2268,0.3841,0.1119,0.0687
Upper Hill,15,6071,5884,5216,4187,3190,2590,2246,2057,-0.197277607,-0.238117984,-0.188087774,-0.132818533,-0.084149599,0.006728731,200.32,10.26857029,11.2120607,0.77442878,0.010209042,0.009722897,0.184735051,0.0209,0.014,0.0517,0.164,0.1278,0.4002,0.1456,0.1106
Upper Lawrenceville,13,6848,6164,5221,4482,3710,3328,2899,2669,-0.141543766,-0.172244534,-0.10296496,-0.12890625,-0.079337703,0.008730668,259.2,10.2970679,11.18441358,0.281378794,0.01386287,0.017984264,0.657174972,0.0296,0.031,0.0643,0.2217,0.2448,0.2957,0.1194,0.054
West End,4,1984,1820,1702,920,604,441,466,254,-0.459459459,-0.343478261,-0.26986755,0.056689342,-0.454935622,0.000830869,128,1.984375,3.640625,0.374015748,0.007874016,0.011811024,0.531496063,0.0748,0.004,0,0.2586,0.2931,0.0862,0.2672,0.0948
West Oakland,14,2952,4073,3658,3140,2955,1938,2272,2604,-0.141607436,-0.058917197,-0.344162437,0.172342621,0.146126761,0.008518044,137.6,18.9244186,16.51162791,0.385176651,0.064900154,0.00499232,0.527265745,0.0177,0.023,0.0193,0.3886,0.2938,0.1701,0.0806,0.0476
Westwood,4,2448,2630,3956,4603,3611,3282,3093,3066,0.163549039,-0.215511623,-0.091110496,-0.057586837,-0.008729389,0.010029309,442.88,6.922868497,6.983833092,0.081539465,0.056751468,0.006849315,0.826810176,0.028,0.014,0.0509,0.1677,0.2152,0.382,0.1196,0.0646
Windgap,4,218,740,629,534,1757,1603,1447,1369,-0.151033386,2.290262172,-0.087649402,-0.09731753,-0.05390463,0.004478188,265.6,5.15436747,5.448042169,0.34769905,0.005113221,0.005113221,0.617969321,0.0241,0.012,0.072,0.1283,0.1493,0.3383,0.2131,0.099
